Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Operadora,Contrato,Campo,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
CASANARE,PAZ DE ARIPORO,5.779915281,-70.86947037,POINT (-70.86947037 5.779915281),NEW GRANADA ENERGY CORPORATION SUCURSAL COLOMBIA,LEONA C,LEONA,0.0085,0.0083,0.0081,0.008,0.0082,0.0083,0.0085,0.0081,0.066,1.98,,
CASANARE,PAZ DE ARIPORO,5.779915281,-70.86947037,POINT (-70.86947037 5.779915281),Frontera Energy Colombia Corp Sucursal Colombia,YAGUAZO,ARRENDAJO,0.0284,0.0281,0.0286,0.0285,0.025,0.0235,0.0256,0.024,0.2117,6.351,,
CASANARE,PAZ DE ARIPORO,5.779915281,-70.86947037,POINT (-70.86947037 5.779915281),PERENCO OIL AND GAS COLOMBIA LIMITED.,YAMÚ,YAMU,0.0018,0.0019,0.0019,0.002,0.002,0.002,0.002,0.002,0.0156,0.468,,
CASANARE,PORE,5.663194953,-71.92580806,POINT (-71.92580806 5.663194953),PERENCO OIL AND GAS COLOMBIA LIMITED.,CARUPANA,YAMU,0.0087,0.0065,0.0084,0.0105,0.0114,0.0116,0.0119,0.0116,0.0806,2.418,,
CASANARE,PORE,5.663194953,-71.92580806,POINT (-71.92580806 5.663194953),PAREX RESOURCES COLOMBIA LTD. SUCURSAL,KONA,LLA 16,0,0,0.022,0.0744,0.0128,0,0,0,0.1092,3.276,,
CASANARE,PORE,5.663194953,-71.92580806,POINT (-71.92580806 5.663194953),PERENCO OIL AND GAS COLOMBIA LIMITED.,POTRILLO,YAMU,0.0029,0.0028,0.0031,0.0035,0.0039,0.0039,0.0033,0.0039,0.0273,0.819,,
CASANARE,SAN LUIS DE PALENQUE,5.274955665,-71.81749276,POINT (-71.81749276 5.274955665),PAREX RESOURCES COLOMBIA LTD. SUCURSAL,ADALIA,LLA 30,0.0134,0.0134,0.0135,0.0128,0.0109,0.0143,0.0138,0.0126,0.1047,3.141,,
CASANARE,SAN LUIS DE PALENQUE,5.274955665,-71.81749276,POINT (-71.81749276 5.274955665),PERENCO COLOMBIA LIMITED,CRAVO ESTE,CASANARE,0.2733,0.2729,0.2449,0.2519,0.2481,0.2528,0.2563,0.2487,2.0489,61.467,,
CASANARE,SAN LUIS DE PALENQUE,5.274955665,-71.81749276,POINT (-71.81749276 5.274955665),INVEPETROL LIMITED COLOMBIA,CURITO,CASANARE ESTE,0.0021,0.0022,0.002,0.0017,0,0.0019,0.0017,0.0018,0.0134,0.402,,
CASANARE,SAN LUIS DE PALENQUE,5.274955665,-71.81749276,POINT (-71.81749276 5.274955665),PAREX RESOURCES COLOMBIA LTD. SUCURSAL,LAS MARACAS,LOS OCARROS,0.2736,0.275,0.2775,0.2734,0.088,0.2395,0.2485,0.2181,1.8936,56.808,,
